word,coefficient
unmasked,2.0233869296811298
different,1.9958100733512447
sharp,1.6017896728197085
position,1.592341985025693
clarity,1.5573532085226123
shots,1.5213248407345974
href,1.486027890822444
subconscious,1.4497816965936876
tee,1.4301793595166554
happens,1.4101243940731492
difference,1.3982689108810666
specific,1.3795830874564003
ain,1.3754665129534889
group,1.3551575218320788
factors,1.3426436388000762
mri,1.3379732288666963
depending,1.3368579792093689
married,1.3304314529134853
spectrum,1.2986547868731055
movies,1.2774345215949672
signs,1.2722037817659637
decided,1.2516804420867373
scene,1.215728182809288
idk,1.2145039456202407
peterson,1.2057098265662476
architect,1.1997900767596377
based,1.1881277348997765
pace,1.1679994673325875
boundaries,1.1635829920056469
meme,1.1602637915836371
question,1.1577918204701512
drained,1.157785608089951
writer,1.1565610370485881
means,1.1553807670819067
steve,1.1542870054110608
curious,1.1476241244986907
wheels,1.139661000109823
met,1.1340071888117365
game,1.1291939870473235
https,1.1184686772629735
random,1.115400790702192
rene,1.1134106781878337
emotion,1.1122683929568542
discipline,1.1055535730167334
choices,1.0975486120991111
unfinished,1.091880463955151
step,1.0880121617305323
funeral,1.0857551640781617
drop,1.0840608291333753
limits,1.0831521616416495
thoughts,1.0813704197543785
com,1.0812533708752463
spoke,1.080638368773004
frame,1.077977765288647
aliens,1.0747035377897505
things,1.0746641835954531
care,1.074362368722279
www,1.0665543231731016
attachment,1.0633383919244206
acceptable,1.0618931748853515
windshield,1.0616974420875946
issues,1.0599641701901652
born,1.058982179416889
beginner,1.054440061300133
option,1.0536191780545043
void,1.0463447551661176
depends,1.045905627071913
avatar,1.040812411616682
inevitable,1.0369486179945004
knife,1.035906249186261
slower,1.0345555721125683
therapist,1.0328437602913023
ex,1.0319688073593194
coworker,1.0312070703795393
integrated,1.0260764918203231
slowly,1.02492143300478
matters,1.0241749167249046
wanted,1.0229220693266998
session,1.0216854285991297
mentioned,1.0204339121084454
vehicle,1.019674413075192
knows,1.0191881062710022
audience,1.0158710037146235
nada,1.0150650368390277
30,1.0140417317315515
lock,1.011383462189909
alternate,1.007061258448702
blindly,1.0042633414674593
vegas,1.0041960088209867
external,1.0030141922882945
perceive,0.9978561454036163
influence,0.9970928210494471
turning,0.9935281590183717
psychic,0.9932455016359165
amendment,0.9919980420101397
track,0.991993780105887
selling,0.9915059337319154
studies,0.991087921421948
factor,0.9891890866531547
dinner,0.9881613039938857
second,0.9849094326821894
water,0.984614184652524
hobbies,0.9817334735651323
renee,0.9761249502414733
filled,0.9737861409823527
dropped,0.9736291618222674
gulam,0.9725881819913407
details,0.9723224083475812
jump,0.9711440754702432
unmask,0.9709130691819524
kisi,0.9700893184611757
preference,0.9629216127272299
condition,0.9628334862530257
wonder,0.9610809879495976
refers,0.9608372127441783
intent,0.9597569435926779
challenge,0.9591981788731672
certain,0.9578125359520243
used,0.9568440933156926
kept,0.9567267567998058
cross,0.9565683292048243
city,0.9560520902620185
song,0.9549580740958272
deeper,0.9542767379598162
explosive,0.9532773830954976
listened,0.9501728201249746
cassandra,0.9497448334446876
measure,0.9494168518487018
falling,0.9488585797026042
mrs,0.9463077006382782
infj,0.9462232169960244
uk,0.943448727525838
birth,0.9423646433378423
post,0.9403491580413617
mentorship,0.9394966573973434
primary,0.9379143565503472
wasn,0.9376550280387377
walk,0.9376534030009737
calculator,0.9359501686154214
applies,0.9353821390935135
select,0.9349336783856803
africa,0.9347758245726074
wallet,0.9343177941774097
agent,0.931075633231648
starts,0.9245070853561207
medication,0.9194702349674779
300,0.9192477955362846
summer,0.9188811503157421
ratio,0.9138755884923532
pra,0.9088503566401949
appropriate,0.9086049636707182
types,0.9077304082796072
switched,0.9075611010032946
square,0.9046941709264565
timothee,0.9043032150957564
nhi,0.9036409712821956
purpose,0.9018844177576688
school,0.9004488252616402
strategy,0.900365721164945
shadow,0.8997837589698732
vivo,0.8986996868979342
ways,0.8984852591063163
guessed,0.8978694306634383
meet,0.8959436359141011
interviews,0.8952425974014858
relative,0.8938249440479352
coworkers,0.8935558560849447
roll,0.8932004680126673
asking,0.8914329500710046
prove,0.8892556024751695
dachshund,0.8888886983577118
replace,0.8765845764898871
archer,0.8763681621647562
email,0.8750315853869493
farm,0.874789896993862
date,0.8745422997955304
performance,0.8738515138757763
cup,0.87362352552511
tell,0.8734375863757059
relationship,0.8725959677108689
ask,0.8708736068174526
systems,0.8703434300982653
area,0.8702926525378315
fitness,0.8682399885380105
fall,0.8671780713343672
appendage,0.8664911102405072
restaurant,0.8649566937829799
dad,0.8640135358422075
jon,0.8629149300288742
model,0.8602036373900784
nutshell,0.8599203283401844
mother,0.8593876358962657
wake,0.8593474528742716
maybe,0.8574411488965746
begin,0.8567250221988625
somebody,0.8550057194098492
wondering,0.8549963081221831
thought,0.8532385948353164
weight,0.8529536788423719
participating,0.8524275431755265
window,0.8517865793718723
affair,0.8511853627205883
feelings,0.8500755713845358
flight,0.849952283953432
carry,0.8496232193418695
outsider,0.8479827886611704
argument,0.8475963246898457
mirror,0.8458502189802206
minimum,0.8444778170302795
solution,0.8441569325278477
bipolar,0.8438637030558969
directly,0.8418294808388724
apply,0.8403938268712129
cops,0.8401657990012437
possibility,0.8392690580875357
doesn,0.837955787898267
wrote,0.8378737911291642
admitted,0.8376946992367786
refer,0.8372970540298977
florida,0.8353639182520435
remove,0.8348547588655985
start,0.8347942569803286
substitute,0.8343592050864304
reveal,0.8338997732438157
structure,0.8337589176768953
dissociating,0.8320387154235839
mall,0.8319296988714896
purse,0.8314051407470067
attempting,0.8306961825615827
recall,0.8300220975307767
owl,0.8293978682211067
grandfather,0.8286671245657767
secure,0.826674713375088
michigan,0.8263951061571655
speed,0.8250210110986008
inner,0.8248555524340782
australia,0.8231003599416108
solved,0.8214839988214728
parts,0.8194501641124715
detached,0.8169216903460814
role,0.8149492282228511
control,0.8137465175089256
liberals,0.8131788970932694
mean,0.8128799762810699
separated,0.812342063582892
grey,0.8118131830368797
bangladesh,0.8111297700079211
checking,0.8105951858272199
sprinklers,0.8100043307625039
circumstances,0.8080171922994216
houses,0.8069406492968916
separate,0.8068971350452664
perception,0.8064987880510127
algo,0.806094860178576
imaging,0.8056205486059097
gym,0.8047799321766863
mente,0.8034542490167093
specifically,0.8031077231630492
hired,0.8024344652572446
relationships,0.8015331147480106
